current_club_name,Sum of Total Assist,Sum of Total Goals,Sum of Total Red Card,Sum of Total Yellow card
SC Heerenveen,156,201,9,272
FC Empoli,149,201,6,398
Stade Reims,222,196,22,369
CD Tondela,164,193,16,513
West Bromwich Albion,178,192,13,358
Levante UD,208,190,18,637
Willem II Tilburg,153,188,13,311
VitÃ³ria SetÃºbal FC,143,188,13,570
FC Arouca,152,188,10,472
Vorskla Poltava,177,181,11,616
KRC Genk,148,180,9,176
AS Saint-Ã‰tienne,140,180,9,365
CD Feirense,119,180,6,503
Chornomorets Odessa,115,179,8,436
Rubin Kazan,166,179,10,441
SC Farense,93,178,10,349
Dynamo Moscow,187,176,9,419
Livingston FC,148,176,12,254
FK Ufa,178,176,8,581
GD Estoril Praia,160,175,13,451
B SAD,104,175,14,471
Hibernian FC,197,175,8,352
Erzurumspor FK,113,172,4,320
Desna Chernigiv,66,172,3,308
RC Lens,127,171,17,330
Girona FC,91,169,5,254
Gil Vicente FC,120,167,13,485
Heracles Almelo,138,166,11,189
FC Metz,135,163,23,429
Kolos Kovalivka,109,163,6,347
Krylya Sovetov Samara,147,160,9,365
Hamilton Academical FC,135,160,14,440
US Cremonese,79,158,6,254
FC Pari Nizhniy Novgorod,155,158,10,300
KVC Westerlo,124,157,9,259
Denizlispor,111,154,6,254
Excelsior Rotterdam,116,154,6,162
CD Nacional,128,153,11,456
Dijon FCO,111,143,11,267
Royale Union Saint Gilloise,113,143,8,189
FC Toulouse,103,138,9,290
Cercle Brugge,120,131,5,268
VVV-Venlo,116,130,11,225
FC Vizela,78,128,6,284
PFK Lviv,127,127,11,599
Metalist 1925 Kharkiv,82,127,6,284
Parma Calcio 1913,76,127,3,272
CF Os Belenenses,95,126,8,318
UD AlmerÃ­a,75,126,3,213
KSC Lokeren (- 2020),81,125,3,192
Chievo Verona,40,122,3,222
Esbjerg fB,57,120,5,240
SM Caen,84,120,10,196
Hobro IK,96,119,3,215
AO Xanthi,95,119,4,319
NAC Breda,68,119,6,115
AJ Auxerre,61,119,5,134
VfL Bochum,106,117,6,196
Bursaspor,100,117,8,220
Olimpik Donetsk,57,117,8,286
NÃ®mes Olympique,63,116,11,272
Desportivo Aves (- 2020),108,112,7,234
Partick Thistle FC,70,110,2,145
Go Ahead Eagles,112,109,6,198
FC Volendam,66,108,2,47
Vejle Boldklub,85,106,7,245
FK Orenburg,93,105,3,253
Clermont Foot 63,89,104,10,230
Arminia Bielefeld,93,104,3,163
Akhisarspor,107,103,7,358
AC Ajaccio,79,102,12,129
CD LeganÃ©s,80,100,3,259
Altay SK,58,99,5,261
Karpaty Lviv (-2021),63,97,4,314
US Lecce,103,96,6,353
FK Khimki,99,96,9,406
Kuban Krasnodar (-2018),62,91,6,187
Panionios Athens,88,88,2,282
Hannover 96,67,86,2,175
Ankaraspor,60,86,5,185
Lierse SK (- 2018),21,85,1,46
FK Minaj,58,84,5,261
Venezia FC,91,81,4,169
SK Beveren,80,80,7,295
Rukh Lviv,56,80,1,306
Kryvbas Kryvyi Rig,50,79,5,241
De Graafschap Doetinchem,71,78,6,96
SPAL,72,76,10,355
Sheffield United,51,75,4,167
Veria NPS,45,75,6,245
UD Las Palmas,56,73,1,186
NK Veres Rivne,57,73,7,196
Ingulets Petrove,45,71,4,203
Brescia Calcio,49,69,6,139
Fakel Voronezh,41,68,3,140
Amiens SC,60,66,8,159
Fortuna DÃ¼sseldorf,53,66,3,153
AO Platanias,59,64,3,188
Torpedo Moscow,67,63,4,218
1.FC Nuremberg,24,62,4,66
Frosinone Calcio,73,62,3,271
FC Lorient,101,61,9,254
Beerschot V.A.,49,59,3,124
EA Guingamp,55,58,6,152
Hamburger SV,41,57,2,91
Anzhi Makhachkala ( -2022),48,55,2,174
Ãœmraniyespor,47,55,7,192
Deportivo de La CoruÃ±a,59,54,2,210
Amkar Perm,40,54,1,130
FC Crotone,69,53,5,220
Kardemir KarabÃ¼kspor,37,53,4,137
FC Vestsjaelland,52,50,0,70
MÃ¡laga CF,37,50,4,150
Roda JC Kerkrade,36,50,2,137
SpVgg Greuther FÃ¼rth,30,50,2,78
PFK Tambov (-2021),74,48,4,242
FC Ingolstadt 04,14,48,0,53
RFC Seraing,38,48,9,172
Enisey Krasnoyarsk,54,47,7,187
Hull City,30,46,5,83
Mersin Talimyurdu SK,41,46,5,115
AOK Kerkyra,42,45,3,194
Stoke City,35,44,2,80
SC Paderborn 07,39,43,1,89
Panthrakikos Komotini,25,42,0,122
Istanbulspor,30,41,3,97
Dnipro Dnipropetrovsk (-2020),29,41,0,114
Cardiff City,26,41,2,78
Inverness Caledonian Thistle FC,32,40,6,80
Iraklis Thessaloniki,24,40,1,73
Vendsyssel FF,39,40,3,72
Eskisehirspor,19,40,1,82
Sporting GijÃ³n,28,39,1,132
Huddersfield Town,42,39,3,119
AcadÃ©mica Coimbra,25,37,1,85
SV Darmstadt 98,32,36,1,95
Casa Pia AC,33,36,8,181
Gaziantepspor (- 2020),30,36,3,148
Metalist Kharkiv,32,36,5,173
Swansea City,27,36,5,82
SD Huesca,40,35,8,243
GFC Ajaccio,14,33,2,70
FC HelsingÃ¶r,24,32,2,81
FK Mariupol,25,32,3,176
Sunderland AFC,41,30,2,122
Metalist Kharkiv (- 2016),15,29,4,75
PFK Stal Kamyanske (-2018),17,29,1,60
Adanaspor,19,28,2,105
Zirka Kropyvnytskyi,10,27,0,96
Metalurg Zaporizhya (-2016),14,27,1,86
Arsenal Kyiv,25,27,1,59
FC Tosno (-2018),31,26,2,77
Delfino Pescara 1936,12,26,1,81
AS Nancy-Lorraine,14,25,2,52
Tom Tomsk,12,21,1,59
SKA Khabarovsk,21,21,3,86
GS Ergotelis,17,20,0,52
Goverla Uzhgorod (- 2016),15,20,1,79
Palermo FC,23,19,3,141
Rotor Volgograd,11,18,0,56
SC Bastia,18,18,4,107
Thonon Ã‰vian Grand GenÃ¨ve FC,10,18,2,33
Middlesbrough FC,21,18,1,45
CF UniÃ£o Madeira (-2021),12,14,0,17
Volyn Lutsk,8,13,1,73
Balikesirspor,6,8,0,19
Cesena FC,5,7,2,70
Mordovia Saransk (-2020),12,7,0,71
Kayseri Erciyesspor,1,5,0,16
Metalurg Donetsk (- 2015),6,5,1,11
Queens Park Rangers,4,4,0,27
AEL Kalloni,7,4,2,62
FC Dordrecht,4,4,1,15
AC Carpi,8,4,0,26
CÃ³rdoba CF,3,3,2,50
SC Beira-Mar,1,0,0,0
