player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Stuart Armstrong,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,1,0,1,2
Marvin Bakalorz,super-lig,first_tier,domestic_league,8,0,1,1
Andrei Prepelita,premier-liga,first_tier,domestic_league,1,0,1,1
Tanguy Ndombélé,ligue-1,first_tier,domestic_league,11,0,1,15
Lassana Coulibaly,scottish-premiership,first_tier,domestic_league,0,0,1,2
Michal Kadlec,super-lig,first_tier,domestic_league,4,0,1,0
Everton,europa-league,europa_league,international_cup,0,0,1,2
Arthur Masuaku,premier-league,first_tier,domestic_league,17,0,1,9
Marvin Martins,premier-liga,first_tier,domestic_league,4,0,1,1
Ivan Miladinovic,premier-liga,first_tier,domestic_league,18,0,1,1
Marvin Pourié,premier-liga,first_tier,domestic_league,1,0,1,1
Sergio Canales,europa-league-qualifikation,europa_league_qualifying,international_cup,0,0,1,1
Sofiane Hanni,europa-league-qualifikation,europa_league_qualifying,international_cup,0,0,1,0
May Mahlangu,super-lig,first_tier,domestic_league,0,0,1,0
Daniel Pedersen,superligaen,first_tier,domestic_league,26,0,1,3
Mateo Barac,premier-liga,first_tier,domestic_league,5,0,1,0
Jairo Samperio,dfb-pokal,domestic_cup,domestic_cup,0,0,1,1
Jeong-ho Hong,europa-league,europa_league,international_cup,1,0,1,0
Rambé,liga-portugal-bwin,first_tier,domestic_league,0,0,1,0
Jere Uronen,europa-league,europa_league,international_cup,3,0,1,0
Christopher Lenz,dfb-pokal,domestic_cup,domestic_cup,4,0,1,1
Kaan Ayhan,serie-a,first_tier,domestic_league,5,1,1,0
Jeremie Frimpong,europa-league,europa_league,international_cup,0,0,1,7
Adem Büyük,uefa-champions-league,uefa_champions_league,international_cup,0,0,1,0
Nikola Djurdjic,bundesliga,first_tier,domestic_league,1,0,1,2
Rasmus Kristensen,europa-league-qualifikation,europa_league_qualifying,international_cup,2,0,1,4
Chadrac Akolo,dfb-pokal,domestic_cup,domestic_cup,0,0,1,2
Jonas,europa-league,europa_league,international_cup,3,0,1,1
Trent Alexander-Arnold,community-shield,domestic_super_cup,other,0,0,1,0
Arkadiusz Milik,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,0,1,2
Victor Moses,community-shield,domestic_super_cup,other,0,0,1,0
Cyriel Dessers,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,0,1,0
Cauly,dfb-pokal,domestic_cup,domestic_cup,0,0,1,0
João Nunes,liga-portugal-bwin,first_tier,domestic_league,2,0,1,1
Ivan Tsyupa,premier-liga,first_tier,domestic_league,11,0,1,0
Mehdi Bourabia,super-lig,first_tier,domestic_league,10,0,1,1
Alberto Lopo,copa-del-rey,domestic_cup,domestic_cup,2,0,1,0
Aleksandar Dragovic,uefa-champions-league,uefa_champions_league,international_cup,3,0,1,0
Jens Stage,europa-league,europa_league,international_cup,3,0,1,1
Dion Cools,superligaen,first_tier,domestic_league,4,0,1,1
Sean Klaiber,europa-league-qualifikation,europa_league_qualifying,international_cup,3,0,1,2
Scott Wright,europa-league-qualifikation,europa_league_qualifying,international_cup,1,0,1,4
Joe Mendes,liga-portugal-bwin,first_tier,domestic_league,1,0,1,0
Marko Devic,russian-cup,domestic_cup,domestic_cup,1,0,1,0
Rashad Muhammed,europa-league-qualifikation,europa_league_qualifying,international_cup,2,0,1,1
Leandro Bacuna,fa-cup,domestic_cup,domestic_cup,3,0,1,1
Jonas Hofmann,europa-league,europa_league,international_cup,0,0,1,2
Ivan Golovkin,premier-liga,first_tier,domestic_league,3,0,1,0
Diogo Gonçalves,superligaen,first_tier,domestic_league,0,0,1,0
Mohamed Elyounoussi,fa-cup,domestic_cup,domestic_cup,1,0,1,0
João Neves,liga-portugal-bwin,first_tier,domestic_league,1,0,1,0
Eli Dasa,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,1,0,1,3
Leon Clarke,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Rick Kruys,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,0
Dawid Kurminowski,superligaen,first_tier,domestic_league,0,0,1,0
Alejandro Domínguez,uefa-champions-league,uefa_champions_league,international_cup,1,0,1,2
Aaron McEneff,scottish-premiership,first_tier,domestic_league,0,0,1,0
Denis Vavro,superligaen,first_tier,domestic_league,5,0,1,3
Stian Gregersen,ligue-1,first_tier,domestic_league,7,0,1,1
Ryan Babel,toto-knvb-beker,domestic_cup,domestic_cup,1,0,1,1
Steven Nzonzi,ligue-1,first_tier,domestic_league,8,1,1,1
Mehmet Secme,super-lig,first_tier,domestic_league,0,0,1,0
Xeka,trophee-des-champions,domestic_super_cup,other,0,0,1,0
Modou Barrow,fa-cup,domestic_cup,domestic_cup,1,0,1,1
Sebastián Driussi,europa-league-qualifikation,europa_league_qualifying,international_cup,1,0,1,1
Sam Vokes,europa-league-qualifikation,europa_league_qualifying,international_cup,0,0,1,0
Juan Brunetta,serie-a,first_tier,domestic_league,3,0,1,2
Jonathan Viera,europa-league,europa_league,international_cup,0,0,1,0
Azer Busuladzic,superligaen,first_tier,domestic_league,9,0,1,3
Tanguy Ndombélé,europa-league-qualifikation,europa_league_qualifying,international_cup,0,0,1,0
Andreas Oggesen,superligaen,first_tier,domestic_league,2,0,1,1
Pavel Dolgov,russian-cup,domestic_cup,domestic_cup,1,0,1,0
Tarantini,europa-league-qualifikation,europa_league_qualifying,international_cup,4,0,1,0
Marko Dugandzic,russian-cup,domestic_cup,domestic_cup,0,0,1,0
Ivan Taranov,premier-liga,first_tier,domestic_league,13,0,1,2
Eldor Shomurodov,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,0
Lee Tomlin,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Muammer Sarikaya,super-lig,first_tier,domestic_league,7,0,1,4
Mohamed Elneny,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Tiago Ilori,ligue-1,first_tier,domestic_league,2,0,1,0
Andreas Poulsen,superligaen,first_tier,domestic_league,3,0,1,2
Raul Rusescu,europa-league-qualifikation,europa_league_qualifying,international_cup,0,0,1,1
Clemens Fritz,dfb-pokal,domestic_cup,domestic_cup,6,0,1,1
Mario Mandzukic,supercoppa-italiana,domestic_super_cup,other,1,0,1,0
Rafael Leão,liga-portugal-bwin,first_tier,domestic_league,0,0,1,1
Santi Cazorla,community-shield,domestic_super_cup,other,0,0,1,0
Alberto Soro,copa-del-rey,domestic_cup,domestic_cup,0,0,1,4
Antonio Sanabria,copa-del-rey,domestic_cup,domestic_cup,2,1,1,1
Francis Amuzu,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,1,0,1,2
Daniel Podence,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,0,1,1
Dzhamaldin Khodzhaniyazov,superligaen,first_tier,domestic_league,7,1,1,0
Kyle Walker,fa-cup,domestic_cup,domestic_cup,5,0,1,1
Mitch Pinnock,scottish-premiership,first_tier,domestic_league,0,0,1,4
Moussa Djenepo,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Rafael Tolói,europa-league-qualifikation,europa_league_qualifying,international_cup,1,0,1,2
Muhammet Besir,super-lig,first_tier,domestic_league,2,0,1,0
Timothy Weah,trophee-des-champions,domestic_super_cup,other,0,0,1,0
Sead Kolasinac,community-shield,domestic_super_cup,other,0,0,1,0
Jorge Elias,premier-liga,first_tier,domestic_league,1,0,1,0
Kyle Naughton,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Aleix Vidal,copa-del-rey,domestic_cup,domestic_cup,7,0,1,7
