player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Calum Chambers,fa-cup,domestic_cup,domestic_cup,2,0,1,1
Callum Wilson,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Bernardo,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,0,1,0
Simon Falette,bundesliga,first_tier,domestic_league,10,1,1,0
Callum Roberts,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Wilfred Moke,super-lig,first_tier,domestic_league,8,0,1,0
Cheick Doukouré,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,1,0,1,0
Halil Dervisoglu,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Uros Matic,toto-knvb-beker,domestic_cup,domestic_cup,1,0,1,2
Chris Kane,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,0
Yuya Kubo,bundesliga,first_tier,domestic_league,2,0,1,0
Mario Martínez,liga-portugal-bwin,first_tier,domestic_league,1,0,1,0
Bukayo Saka,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Gianluca Mancini,europa-league,europa_league,international_cup,4,1,1,0
Dimitri Payet,trophee-des-champions,domestic_super_cup,other,0,0,1,0
William Amorim,super-lig,first_tier,domestic_league,0,0,1,1
Ibrahim Salah,europa-league,europa_league,international_cup,0,0,1,0
