player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Ivan Santini,Croatia,RSC Anderlecht,6,0,26,66
Jens Toornstra,Netherlands,Feyenoord Rotterdam,65,0,39,66
Kelechi Iheanacho,Nigeria,Leicester City,36,0,13,66
Laurent Depoitre,Belgium,KAA Gent,26,0,13,66
Liam Boyce,Northern Ireland,Heart of Midlothian FC,24,1,13,66
Marko Arnautovic,Austria,Bologna FC 1909,30,2,33,66
Mbaye Diagne,Senegal,Fatih KaragÃ¼mrÃ¼k,9,1,17,66
Rodrigo,Spain,Leeds United,39,4,33,66
Ryan Babel,Netherlands,Galatasaray,31,1,41,66
Dani Parejo,Spain,Villarreal CF,72,2,88,65
Martin Braithwaite,Denmark,RCD Espanyol Barcelona,23,1,28,65
SalomÃ³n RondÃ³n,Venezuela,Everton FC,23,2,17,65
Danny Ings,England,West Ham United,21,0,16,64
Dele Alli,England,Besiktas JK,53,1,40,64
Jermain Defoe,England,Rangers FC,15,0,8,64
JosÃ© CallejÃ³n,Spain,ACF Fiorentina,70,1,20,64
Leonardo Pavoletti,Italy,Cagliari Calcio,13,1,41,64
Malcom,Brazil,Zenit St. Petersburg,39,1,11,64
Mario Mandzukic,Croatia,AC Milan,21,0,43,64
Munir El Haddadi,Morocco,Getafe CF,26,0,32,64
Cristhian Stuani,Uruguay,Girona FC,0,0,36,63
Joselu,Spain,RCD Espanyol Barcelona,20,0,24,63
Mame Diouf,Senegal,Konyaspor,18,0,33,63
Mario Pasalic,Croatia,Atalanta BC,29,0,34,63
Nicolas PÃ©pÃ©,Cote d'Ivoire,Arsenal FC,34,1,13,63
Tammy Abraham,England,AS Roma,26,0,17,63
Thorgan Hazard,Belgium,Borussia Dortmund,64,0,21,63
Christian Benteke,Belgium,Crystal Palace,19,2,32,62
Felipe Anderson,Brazil,SS Lazio,60,0,27,62
Jadon Sancho,England,Manchester United,70,0,6,62
Juanmi,Spain,Real Betis BalompiÃ©,13,0,26,62
Michiel Kramer,Netherlands,RKC Waalwijk,21,1,30,62
Raphinha,Brazil,FC Barcelona,43,0,44,62
Robin van Persie,Netherlands,Feyenoord Rotterdam,14,1,14,62
Scott Sinclair,England,Celtic FC,25,0,4,62
Wahbi Khazri,Tunisia,Montpellier HSC,26,2,63,62
Georgios Giakoumakis,Greece,Celtic FC,9,0,26,61
Marlos,Ukraine,Shakhtar Donetsk,52,0,33,61
Pedro GonÃ§alves,Portugal,Sporting CP,37,1,31,61
Adis Jahovic,North Macedonia,GÃ¶ztepe,10,4,27,60
Antonio Candreva,Italy,UC Sampdoria,73,1,38,60
Cyriel Dessers,Nigeria,US Cremonese,21,0,15,60
Facundo Ferreyra,Argentina,Celta de Vigo,10,0,26,60
GaÃ«tan Laborde,France,Stade Rennais FC,31,1,11,60
Joshua King,Norway,Fenerbahce,19,0,17,60
Julian Brandt,Germany,Borussia Dortmund,69,0,4,60
Khouma Babacar,Senegal,Alanyaspor,14,1,19,60
Roberto Soldado,Spain,Levante UD,42,3,66,60
Vedat Muriqi,Kosovo,RCD Mallorca,23,2,27,60
Ãlvaro Negredo,Spain,CÃ¡diz CF,30,0,25,59
Dimitrios Pelkas,Greece,Fenerbahce,40,1,55,59
Emil Forsberg,Sweden,RB Leipzig,54,2,8,59
Kingsley Coman,France,Bayern Munich,63,1,15,59
Krzysztof Piatek,Poland,US Salernitana 1919,11,0,17,59
Oussama Idrissi,Morocco,Feyenoord Rotterdam,47,0,35,59
Papiss CissÃ©,Senegal,Caykur Rizespor,7,0,17,59
Ruslan Malinovskyi,Ukraine,Atalanta BC,55,0,62,59
Ryan Christie,Scotland,AFC Bournemouth,58,1,28,59
Simone Zaza,Italy,Torino FC,18,2,64,59
Aleksandr Kokorin,Russia,ACF Fiorentina,21,1,22,58
Artem Kravets,Ukraine,Konyaspor,13,0,20,58
David Neres,Brazil,SL Benfica,52,0,17,58
Dieumerci Mbokani,DR Congo,Royal Antwerp FC,24,0,28,58
Felipe Caicedo,Ecuador,Genoa CFC,21,0,40,58
GastÃ³n Pereiro,Uruguay,Cagliari Calcio,24,0,20,58
Georgios Masouras,Greece,Olympiacos Piraeus,22,0,27,58
JoaquÃ­n Correa,Argentina,Inter Milan,29,2,37,58
Lucas Alario,Argentina,Eintracht Frankfurt,14,1,17,58
Michael Gregoritsch,Austria,SC Freiburg,18,0,32,58
Muhammet Demir,Turkey,Konyaspor,17,0,30,58
Nolito,Spain,Celta de Vigo,45,1,40,58
Willian,Brazil,Fulham FC,56,0,22,58
Aleksandar MitroviÄ‡,Serbia,Fulham FC,21,3,31,57
Aleksandar Prijovic,Serbia,PAOK Thessaloniki,10,0,11,57
Ezequiel Ponce,Argentina,Elche CF,12,3,37,57
Leon Bailey,Jamaica,Aston Villa,47,2,32,57
Nikolaos Karelis,Greece,Panetolikos GFS,16,0,11,57
Ousmane DembÃ©lÃ©,France,FC Barcelona,67,1,30,57
Patrick Mortensen,Denmark,Aarhus GF,8,0,12,57
Paul Pogba,France,Juventus FC,77,2,60,57
Raffael,Brazil,Borussia MÃ¶nchengladbach,26,0,6,57
Stefano Okaka,Italy,Basaksehir FK,17,0,47,57
Ãngel Correa,Argentina,AtlÃ©tico de Madrid,53,2,50,56
David Silva,Spain,Real Sociedad,91,1,41,56
Federico Chiesa,Italy,Juventus FC,42,1,37,56
Gylfi Sigurdsson,Iceland,Everton FC,49,1,22,56
Ilkay GÃ¼ndogan,Germany,Manchester City,41,0,25,56
Keita BaldÃ©,Senegal,Spartak Moscow,30,2,36,56
Luiz Adriano,Brazil,Antalyaspor,29,2,27,56
Phil Foden,England,Manchester City,34,0,7,56
Samuel Eto'o,Cameroon,Konyaspor,19,0,15,56
Youri Tielemans,Belgium,Leicester City,44,0,44,56
Arjen Robben,Netherlands,FC Groningen,40,0,8,55
Ayoze PÃ©rez,Spain,Leicester City,21,1,15,55
Chris Wood,New Zealand,Nottingham Forest,8,0,5,55
FernandÃ£o,Brazil,Fenerbahce,9,0,22,55
GrÃ©goire Defrel,France,US Sassuolo,22,0,23,55
Hugo Rodallega,Colombia,Denizlispor,5,0,15,55
James Ward-Prowse,England,Southampton FC,42,2,41,55
Jorge Molina,Spain,Granada CF,22,1,26,55
Luis Alberto,Spain,SS Lazio,76,1,39,55
Max Gradel,Cote d'Ivoire,Sivasspor,46,1,39,55
Serhou Guirassy,Guinea,VfB Stuttgart,6,1,24,55
Vedad Ibisevic,Bosnia-Herzegovina,FC Schalke 04,21,3,33,55
Adem BÃ¼yÃ¼k,Turkey,Yeni Malatyaspor,23,2,53,54
Aleksey Miranchuk,Russia,Torino FC,50,0,17,54
Ari,Russia,FK Krasnodar,31,2,29,54
Christian Noboa,Ecuador,FC Sochi,41,2,32,54
Efthymios Koulouris,Greece,Alanyaspor,15,1,13,54
Lukasz Teodorczyk,Poland,RSC Charleroi,12,0,20,54
Marcus Ingvartsen,Denmark,1.FSV Mainz 05,16,0,30,54
Matteo Politano,Italy,SSC Napoli,38,1,29,54
M'Baye Niang,Senegal,AJ Auxerre,22,2,32,54
Sander van de Streek,Netherlands,FC Utrecht,24,1,16,54
Sergio Ramos,Spain,Paris Saint-Germain,13,3,100,54
Steven Bergwijn,Netherlands,Ajax Amsterdam,52,0,27,54
Talisca,Brazil,Besiktas JK,16,0,22,54
ZÃ© LuÃ­s,Cape Verde,Hatayspor,32,0,27,54
Alireza Jahanbakhsh,Iran,Feyenoord Rotterdam,44,0,28,53
Anwar El Ghazi,Netherlands,PSV Eindhoven,25,0,27,53
Borja Mayoral,Spain,Getafe CF,17,0,12,53
Gyrano Kerk,Netherlands,Lokomotiv Moscow,47,0,23,53
Jimmy Briand,France,FC Girondins Bordeaux,30,0,18,53
Jonas Hofmann,Germany,Borussia MÃ¶nchengladbach,52,0,10,53
Karim Ansarifard,Iran,AEK Athens,13,1,21,53
Karim Bellarabi,Germany,Bayer 04 Leverkusen,63,2,34,53
Leandro Trossard,Belgium,Brighton & Hove Albion,28,0,9,53
Richarlison,Brazil,Tottenham Hotspur,18,2,30,53
Salomon Kalou,Cote d'Ivoire,Hertha BSC,16,0,6,53
Theo Walcott,England,Southampton FC,25,0,7,53
VÃ¡gner Love,Brazil,FC Midtjylland,9,0,16,53
Alex Teixeira,Brazil,Besiktas JK,7,0,16,52
Ante Rebic,Croatia,AC Milan,25,4,48,52
Benjamin Verbic,Slovenia,Panathinaikos Athens,22,3,32,52
Carlos VinÃ­cius,Brazil,Fulham FC,23,0,21,52
Cyle Larin,Canada,Real Valladolid CF,22,1,22,52
Daichi Kamada,Japan,Eintracht Frankfurt,36,0,15,52
JoÃ£o FÃ©lix,Portugal,Chelsea FC,24,1,26,52
Mimoun Mahi,Morocco,SC Cambuur Leeuwarden,27,0,9,52
Rafael LeÃ£o,Portugal,AC Milan,39,0,21,52
Robert Skov,Denmark,TSG 1899 Hoffenheim,42,1,18,52
Stuart Armstrong,Scotland,Southampton FC,44,0,25,52
Troy Deeney,England,Watford FC,24,2,22,52
Aleksandr Sobolev,Russia,Spartak Moscow,19,1,43,51
Breel Embolo,Switzerland,AS Monaco,29,0,28,51
Fran Sol,Spain,Dynamo Kyiv,7,1,9,51
Gianluca Caprari,Italy,AC Monza,23,1,35,51
Guus Til,Netherlands,PSV Eindhoven,18,0,17,51
Iago Falque,Spain,Benevento Calcio,31,0,12,51
Michael Frey,Switzerland,FC Schalke 04,12,0,18,51
Niall McGinn,Northern Ireland,Dundee FC,71,0,5,51
Riad Bajic,Bosnia-Herzegovina,Giresunspor,12,0,9,51
Ante Budimir,Croatia,CA Osasuna,6,0,33,50
Bogdan Stancu,Romania,Genclerbirligi Ankara,19,0,11,50
Bruma,Portugal,Fenerbahce,32,0,21,50
Danny Welbeck,England,Brighton & Hove Albion,26,0,7,50
Dyego Sousa,Portugal,UD AlmerÃ­a,15,1,16,50
Federico Santander,Paraguay,Bologna FC 1909,17,0,24,50
Filip Kostic,Serbia,Juventus FC,82,1,40,50
Kike GarcÃ­a,Spain,CA Osasuna,7,0,25,50
Lasse SchÃ¶ne,Denmark,NEC Nijmegen,36,1,36,50
Lorenzo Pellegrini,Italy,AS Roma,55,2,60,50
RaphaÃ«l Guerreiro,Portugal,Borussia Dortmund,57,0,19,50
Roger MartÃ­,Spain,CÃ¡diz CF,12,0,35,50
Alexandru Maxim,Romania,Gaziantep FK,35,0,38,49
Andrea Petagna,Italy,AC Monza,24,0,24,49
Benito Raman,Belgium,RSC Anderlecht,20,1,27,49
Demba Ba,Senegal,Basaksehir FK,15,0,12,49
Luis DÃ­az,Colombia,Liverpool FC,24,0,11,49
Marcel Sabitzer,Austria,Manchester United,38,0,44,49
Marco Asensio,Spain,Real Madrid,31,0,15,49
Nicklas Helenius,Denmark,Silkeborg IF,14,0,8,49
Renaud Emond,Belgium,Standard LiÃ¨ge,6,0,17,49
Ricky van Wolfswinkel,Netherlands,Twente Enschede FC,19,0,16,49
Ruud Vormer,Netherlands,SV Zulte Waregem,80,0,46,49
Sergio Canales,Spain,Real Betis BalompiÃ©,51,1,41,49
Anastasios Douvikas,Greece,FC Utrecht,13,0,7,48
Charles,Brazil,SD Eibar,11,1,42,48
Dame N'Doye,Senegal,FC Copenhagen,22,0,29,48
Daniel Caligiuri,Italy,FC Augsburg,48,0,39,48
Divock Origi,Belgium,AC Milan,21,0,7,48
Dominic Calvert-Lewin,England,Everton FC,15,0,23,48
Emiliano Sala,Argentina,FC Nantes,15,0,16,48
Ivan Rakitic,Croatia,Sevilla FC,49,0,50,48
JoÃ£o MÃ¡rio,Guinea-Bissau,GD Chaves,60,1,39,48
JoÃ£o MÃ¡rio,Portugal,SL Benfica,60,1,39,48
Jordan Ayew,Ghana,Crystal Palace,26,2,36,48
Kasper Kusk,Denmark,Silkeborg IF,52,0,14,48
Leon Goretzka,Germany,Bayern Munich,49,0,29,48
Maxwel Cornet,Cote d'Ivoire,West Ham United,27,1,23,48
Michalis Manias,Greece,Asteras Tripolis,7,0,17,48
Morten â€˜Duncanâ€™ Rasmussen,Denmark,Aarhus GF,8,1,10,48
RÃ©my Cabella,France,LOSC Lille,40,1,38,48
Serdar GÃ¼rler,Turkey,Basaksehir FK,32,0,28,48
Stevan Jovetic,Montenegro,Hertha BSC,21,1,19,48
Yacine Brahimi,Algeria,FC Porto,36,1,15,48
Yusuf Yazici,Turkey,Trabzonspor,29,2,34,48
Deniz Kadah,Turkey,Altay SK,8,0,12,47
Fernando Llorente,Spain,Udinese Calcio,16,0,15,47
Franck KessiÃ©,Cote d'Ivoire,FC Barcelona,20,2,52,47
Giacomo Bonaventura,Italy,ACF Fiorentina,42,2,40,47
Gianni Bruno,Belgium,Sint-Truidense VV,15,0,10,47
Henk Veerman,Netherlands,FC Volendam,15,1,12,47
Iuri Medeiros,Portugal,SC Braga,46,0,25,47
Jordan Veretout,France,Olympique Marseille,35,1,63,47
Luciano Vietto,Argentina,Sporting CP,29,0,24,47
SaÃºl Ã‘Ã­guez,Spain,AtlÃ©tico de Madrid,19,0,77,47
Sergio Araujo,Argentina,AEK Athens,26,1,32,47
Teun Koopmeiners,Netherlands,Atalanta BC,21,1,26,47
Wayne Rooney,England,Manchester United,24,1,25,47
Ãngel RodrÃ­guez,Spain,RCD Mallorca,14,0,28,46
Aaron Ramsey,Wales,OGC Nice,43,0,25,46
AndrÃ© Hahn,Germany,FC Augsburg,28,0,35,46
Brown Ideye,Nigeria,GÃ¶ztepe,15,1,15,46
Denys Garmash,Ukraine,Dynamo Kyiv,22,1,51,46
Dirk Kuyt,Netherlands,Feyenoord Rotterdam,16,0,11,46
Erik Lamela,Argentina,Sevilla FC,42,0,64,46
Fedor Chalov,Russia,CSKA Moscow,26,0,9,46
Gerard Deulofeu,Spain,Udinese Calcio,48,0,27,46
JÃ¼rgen Locadia,Netherlands,Brighton & Hove Albion,29,0,12,46
Jasmin Kurtic,Slovenia,PAOK Thessaloniki,15,1,69,46
Lennart Thy,Germany,Sparta Rotterdam,13,0,3,46
Marek Hamsik,Slovakia,Trabzonspor,40,0,10,46
Mesut Ã–zil,Germany,Basaksehir FK,62,0,20,46
Nicola Sansone,Italy,Bologna FC 1909,34,1,46,46
Nicolas de PrÃ©ville,France,FC Metz,28,0,31,46
Oleksandr Gladkyi,Ukraine,Chornomorets Odessa,20,0,18,46
Oussama Tannane,Morocco,NEC Nijmegen,47,1,54,46
Pione Sisto,Denmark,FC Midtjylland,28,0,16,46
Riccardo Orsolini,Italy,Bologna FC 1909,26,1,15,46
Robert Mak,Slovakia,Zenit St. Petersburg,26,2,19,46
Sam Larsson,Sweden,Antalyaspor,54,0,10,46
Tonny Vilhena,Netherlands,US Salernitana 1919,30,1,53,46
Abdoulay Diaby,Mali,Getafe CF,22,0,19,45
Alfred Finnbogason,Iceland,Lyngby BK,15,1,14,45
Arturo Vidal,Chile,Inter Milan,36,0,75,45
Christian Pulisic,United States,Chelsea FC,41,0,13,45
Cyril ThÃ©rÃ©au,France,ACF Fiorentina,10,1,12,45
Darwin NÃºÃ±ez,Uruguay,Liverpool FC,16,0,9,45
Eamonn Brophy,Scotland,St. Mirren FC,9,1,11,45
Ishak Belfodil,Algeria,Hertha BSC,21,1,19,45
JÃ©rÃ©my Perbet,France,Oud-Heverlee Leuven,4,1,9,45
Jonas Wind,Denmark,VfL Wolfsburg,14,0,6,45
Kevin Lasagna,Italy,Hellas Verona,16,0,9,45
Nolan Roux,France,NÃ®mes Olympique,11,0,22,45
SÃ©rgio Oliveira,Portugal,Galatasaray,22,0,65,45
Sofiane Hanni,Algeria,Spartak Moscow,39,0,20,45
Aleksey Ionov,Russia,FK Krasnodar,28,0,14,44
Anthony Nwakaeme,Nigeria,Trabzonspor,38,0,13,44
Ashley Barnes,England,Burnley FC,6,0,47,44
Billy McKay,Northern Ireland,Ross County FC,14,0,4,44
Donny van de Beek,Netherlands,Manchester United,35,0,19,44
Giovanni Sio,Cote d'Ivoire,Genclerbirligi Ankara,15,2,42,44
Hulk,Brazil,Zenit St. Petersburg,40,0,26,44
Luka Jovic,Serbia,ACF Fiorentina,16,0,11,44
Luka Milivojevic,Serbia,Crystal Palace,12,3,77,44
Mathieu Valbuena,France,Olympiacos Piraeus,89,0,30,44
Shamar Nicholson,Jamaica,Spartak Moscow,15,2,14,44
Sofiane Feghouli,Algeria,Fatih KaragÃ¼mrÃ¼k,43,3,26,44
Vitaliy Buyalskyi,Ukraine,Dynamo Kyiv,30,1,42,44
Abiola Dauda,Nigeria,Apollon Smyrnis,12,1,11,43
Adrien Thomasson,France,RC Strasbourg Alsace,41,2,43,43
Amine Gouiri,France,Stade Rennais FC,24,0,15,43
